id_parcelle,pH_sol,azote_N_kg_ha,phosphore_P_kg_ha,potassium_K_kg_ha,pluviometrie_mm,temperature_moy_C,humidite_air_pct,type_sol,region,methode_irrigation,niveau_ensoleillement,qualite_drainage,niveau_fertilite_sol,classe_culture
P0262,6.56,49.8,43.5,63.7,670.9,21.2,44.8,Limoneux,Ouest,Pluvial,Eleve,Bon,Moyen,Legumineuses
P0133,6.28,146.7,56.8,79.5,736.7,21.5,63.2,Argilo-limoneux,Centre,Pluvial,Moyen,Excellent,Moyen,Cereales
P0576,5.79,60.8,64.1,117.1,737.2,29.7,56.7,Sableux,Nord,Gravitaire,Eleve,Moyen,Moyen,Cultures_industrielles
P0455,6.68,90.8,35.3,88.0,595.6,25.3,38.5,Argileux,Est,Pluvial,Eleve,Excellent,Eleve,Cultures_industrielles
P0338,6.1,117.2,124.6,94.8,610.4,30.4,69.3,Argileux,Ouest,Aspersion,Eleve,Excellent,Eleve,Maraichage
P0581,6.77,102.2,78.7,65.5,572.1,30.5,61.6,Sableux,Est,Gravitaire,Moyen,Bon,Moyen,Cultures_industrielles
P0317,6.49,151.9,55.0,117.7,578.1,24.9,59.4,Argileux,Sud,Goutte-a-goutte,Faible,Moyen,Moyen,Maraichage
P0440,6.23,140.0,109.7,117.8,714.2,22.4,60.8,Argilo-limoneux,Nord,Aspersion,Eleve,Excellent,Eleve,Maraichage
P0054,6.94,136.1,58.1,78.4,600.4,21.6,71.6,Limoneux,Nord,Aspersion,Moyen,Bon,Eleve,Cereales
P0398,6.14,140.8,98.1,136.2,540.7,23.2,58.9,Limoneux,Est,Goutte-a-goutte,Eleve,Excellent,Moyen,Maraichage
P0061,6.51,126.4,66.2,74.1,648.4,22.4,65.1,Argileux,Est,Goutte-a-goutte,Moyen,Moyen,Bas,Cereales
P0586,5.98,110.2,63.1,50.8,577.2,24.7,31.8,Limoneux,Ouest,Aspersion,Moyen,Moyen,Moyen,Cultures_industrielles
P0497,7.21,94.1,48.4,72.4,563.9,31.5,46.2,Sableux,Sud,Pluvial,Eleve,Excellent,Moyen,Cultures_industrielles
P0273,6.55,32.1,25.0,50.6,622.8,21.2,56.6,Limoneux,Sud,Pluvial,Moyen,Moyen,Bas,Legumineuses
P0279,6.41,28.4,50.5,47.8,627.2,14.5,46.4,Argilo-limoneux,Ouest,Pluvial,Moyen,Moyen,Moyen,Legumineuses
P0278,7.11,42.5,67.8,66.2,371.3,20.7,61.8,Limoneux,Est,Pluvial,Moyen,Bon,Moyen,Legumineuses
P0405,6.39,147.4,114.2,102.0,742.1,19.1,51.7,Limoneux,Centre,Aspersion,Eleve,Bon,Eleve,Maraichage
P0355,5.66,167.3,74.9,84.7,964.3,24.7,61.8,Limoneux,Centre,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0370,6.71,127.6,104.4,70.0,500.0,20.1,70.3,Limoneux,Sud,Aspersion,Moyen,Excellent,Eleve,Maraichage
P0307,6.71,153.9,77.8,125.8,914.0,22.1,51.8,Argilo-limoneux,Centre,Goutte-a-goutte,Faible,Excellent,Eleve,Maraichage
P0244,6.72,35.9,48.8,33.3,558.3,20.7,56.5,Sablo-limoneux,Centre,Pluvial,Eleve,Bon,Eleve,Legumineuses
P0539,6.8,105.6,54.4,69.9,572.3,33.1,34.8,Sableux,Centre,Gravitaire,Eleve,Bon,Bas,Cultures_industrielles
P0389,6.6,124.5,82.2,135.0,763.3,31.2,61.2,Limoneux,Ouest,Goutte-a-goutte,Eleve,Bon,Bas,Maraichage
P0545,6.38,95.9,53.8,77.7,570.6,32.2,37.1,Limoneux,Sud,Gravitaire,Moyen,Moyen,Eleve,Cultures_industrielles
P0098,6.8,101.9,76.2,67.0,587.4,30.0,65.1,Argilo-limoneux,Ouest,Pluvial,Moyen,Moyen,Eleve,Cereales
P0553,7.17,97.7,54.5,78.4,628.5,31.4,35.5,Limoneux,Ouest,Pluvial,Moyen,Mauvais,Moyen,Cultures_industrielles
P0471,6.9,86.4,60.5,93.8,532.2,24.8,60.2,Limoneux,Nord,Gravitaire,Eleve,Moyen,Bas,Cultures_industrielles
P0423,6.61,167.0,90.8,105.8,574.7,22.9,53.9,Argileux,Nord,Pluvial,Eleve,Bon,Eleve,Maraichage
P0345,6.07,136.9,55.0,131.3,565.8,23.0,65.9,Limoneux,Est,Pluvial,Eleve,Excellent,Moyen,Maraichage
P0552,7.62,70.7,48.8,109.4,754.0,26.3,62.0,Argileux,Sud,Pluvial,Eleve,Bon,Bas,Cultures_industrielles
P0546,7.24,84.5,44.6,95.0,678.9,27.5,30.0,Argileux,Centre,Gravitaire,Moyen,Mauvais,Moyen,Cultures_industrielles
P0071,6.84,161.3,60.3,45.0,812.1,21.4,61.0,Limoneux,Centre,Aspersion,Moyen,Moyen,Moyen,Cereales
P0540,6.89,113.1,40.8,102.3,280.0,30.8,52.5,Argileux,Centre,Aspersion,Moyen,Bon,Moyen,Cultures_industrielles
P0309,6.4,140.7,104.3,108.3,730.9,28.9,71.1,Argileux,Centre,Goutte-a-goutte,Eleve,Excellent,Eleve,Maraichage
P0188,5.86,39.1,52.9,52.1,471.2,25.8,62.7,Sablo-limoneux,Est,Goutte-a-goutte,Eleve,Excellent,Moyen,Legumineuses
P0599,7.78,79.9,31.7,96.3,741.6,30.4,31.5,Sableux,Centre,Aspersion,Eleve,Moyen,Bas,Cultures_industrielles
P0494,6.1,91.2,25.0,71.3,595.9,27.2,53.2,Limoneux,Est,Gravitaire,Moyen,Bon,Eleve,Cultures_industrielles
